URLCODE,tags_c,Stars,Text_Cleaned,MajLang,License,LastUpdated
6,,2,"['framework', 'pyon', 'science', 'data', 'processes']",0,0,4-Nov-11
6,,2,"['assignment', '1', 'course', 'uc', 'berkeley']",0,0,1-Mar-12
6,,2,"['prototypes', 'ooici', 'science', 'data', 'model', 'fenics']",0,0,4-May-12
6,,2,"['code', 'behind', 'team', 'global', 'hackathon', 'air', 'quality', 'prediction', 'submissions']",1,0,9-May-12
6,,2,"['package', 'containing', 'data', 'sets', '6th', 'edition', 'devore', 'prob', 'stats', 'engr', 'sciences']",1,0,31-May-12
6,,22,"['simple', 'implementations', 'tools', 'use', 'newspaper', 'reporters']",0,0,5-Jun-12
6,"['visualization', 'python', 'documentation', 'parallelization', 'data-simulation', 'expression-parser', 'runtime-validation', 'api-development']",1,"['libraries', 'support', 'common', 'kinds', 'work']",0,0,9-Jun-12
6,,115,"['code', 'documentation', 'introduction', 'jeffrey', 'stanton']",1,0,11-Jun-12
6,,1,"['reading', 'jeff', 'stanton', 'book']",1,0,2-Aug-12
6,,10,"['code', 'emi', 'music', 'hackathon']",0,0,4-Aug-12
6,,0,"['hst', 'jwst', 'science', 'data', 'processing', 'queue']",0,0,16-Aug-12
6,,5,"['large', 'hadron', 'collider', 'data', 'hack', 'science', 'hack', 'day', 'nairobi', '2012']",0,0,20-Aug-12
6,,0,"['code', 'used', 'emc', 'challenge', 'kaggle', 'competition']",0,0,4-Oct-12
6,,0,"['visualization', 'examples', 'time', 'series', 'analysis', 'large', 'scale', 'data', 'processing']",1,0,25-Oct-12
6,,0,"['exercises', 'repository', 'name', 'misspelled', 'avoid', 'collisions']",0,0,27-Oct-12
6,,10,"['code', 'slides', 'dc', 'meetup', 'talk']",0,0,20-Nov-12
6,,1,"['examples', 'included', 'book', 'data', 'analysis']",0,0,4-Dec-12
6,,7,"['code', 'columbia', 'final', 'project', 'kaggle', 'competition', 'automated', 'essay', 'grading', 'system']",1,0,11-Dec-12
6,,1,"['repo', 'homework', 'done', 'uw', 'pce', 'class']",0,0,11-Dec-12
6,"['machine-learning', 'lib', 'python', 'data-analysis', 'data-science']",1,"['final', 'project', 'columbia', 'w4242', 'introduction']",1,0,11-Dec-12
6,,1,"['political', 'science', 'data', 'dive', '2012', '12', '08', 'results']",1,0,14-Dec-12
6,,1,"['insight', 'january', '2013', 'data', 'project', 'repository']",0,0,4-Mar-13
6,,0,"['practicum', 'csce', '489', 'intro', 'google', 'charts']",0,0,22-Mar-13
6,,1,"['repository', 'data', 'collection', 'exercise', 'class']",0,0,30-Mar-13
6,,0,"['repo', 'submitting', 'general', 'assembly', 'coursework']",1,0,2-Apr-13
6,,0,"['final', 'project', 'intro', 'texas', 'university']",0,0,28-Apr-13
6,,0,"['scripts', 'used', 'coursera', 'intro']",0,0,6-May-13
6,,0,"['code', 'recognize', 'expressions', 'kaggle', 'competition', 'sponsored', 'icml']",0,0,7-May-13
6,,13,"['analysis', 'sentiments', 'tweets', 'using', 'twitter', 'api', 'class']",0,0,7-May-13
6,,2,"['coursera', 'introduction', 'assignment', '1']",0,0,10-May-13
6,,46,"['currently', 'taking', 'course', 'coursera', 'org', 'called', 'introduction', 'first', 'programming', 'assignment']",0,0,10-May-13
6,,0,"['repo', 'programing', 'assignments', 'introduction', 'university', 'washington', 'coursera']",0,0,10-May-13
6,"['python', 'pytorch', 'unet']",0,"['coursa', 'class', 'introduction']",0,0,11-May-13
6,,1,"['based', 'sentiment', 'analyzer', 'twitter', 'tweets']",0,0,11-May-13
6,,0,"['assignments', 'projects', 'coursera', 'introduction', 'bill', 'howe']",0,0,12-May-13
6,,0,"['code', 'coursea', 'introduction']",0,0,13-May-13
6,,0,"['homework', 'intro', 'coursera']",0,0,13-May-13
6,,0,"['assigenment', 'introduction', 'course', 'coursera', 'make', 'social', 'measurements', 'using']",0,0,13-May-13
6,,0,"['introduction', 'course']",0,0,15-May-13
6,,0,"['classwork', 'ga', 'students', 'pull']",1,0,15-May-13
6,,0,"['assignment', '1', 'coursera', 'intro']",0,0,16-May-13
6,,0,"['introduction', 'university', 'washington']",0,0,17-May-13
6,,0,"['code', 'solution', 'backup', 'classes', 'backup']",0,0,20-May-13
6,,1,"['assignments', 'coursera', 'course', 'introduction']",0,0,20-May-13
6,[],0,"['intro', 'university', 'washington', 'coursera']",0,0,22-May-13
6,,0,"['repo', 'assignments', 'coursera', 'course', 'introduction']",0,0,22-May-13
6,,2,"['work', 'university', 'washington', 'course', 'summer', '2013']",0,0,25-May-13
6,,0,"['scripts', 'something', 'else']",0,0,28-May-13
6,,0,"['assignment', 'introduction']",0,0,28-May-13
6,,1,"['coursera', 'introduction', 'assignments']",0,0,28-May-13
6,,1,"['introduction', 'taught', 'bill', 'howe', 'join', 'data', 'revolution', 'companies', 'searching', 'data', 'scienti']",0,0,29-May-13
6,[],0,"['repository', 'training', 'general', 'assembly']",1,0,29-May-13
6,,16,"['solutions', 'introduction', 'coursera', 'course', 'problems']",0,0,30-May-13
6,,1,"['solutions', 'course', 'sql', 'relational', 'algebra', 'mapreduce', 'etc']",0,0,30-May-13
6,[],0,"['introduction', 'stuff', 'datascience']",0,0,31-May-13
6,,1,"['assignments', 'coursera', 'introduction']",0,0,2-Jun-13
6,,5,"['project', 'class', 'introduction']",0,0,3-Jun-13
6,,0,"['tool', 'easily', 'extract', 'web', 'science', 'data', 'importable', 'tab', 'delimited', 'text', 'file', 'easy', 'timeline', '3d']",0,0,4-Jun-13
6,[],0,"['repo', 'hold', 'work', 'intro', 'class']",0,0,8-Jun-13
6,,0,"['work', 'files', 'coursera', 'introduction', 'kaggle', 'competition']",0,0,17-Jun-13
6,,0,"['project', 'general', 'assemb', 'ly', 'class']",0,0,17-Jun-13
6,,0,"['programming', 'assignment', 'solutions', 'introduction']",0,0,19-Jun-13
6,,0,"['twitter', 'feed', 'sentiment', 'analysis']",0,0,19-Jun-13
6,,1,"['aaron', 'jaffe', 'section', '4', 'assignments']",1,0,26-Jun-13
6,,1,"['salary', 'prediction', 'hw', 'general', 'assembly', 'bootcamp']",1,0,30-Jun-13
6,,1,"['assignment', 'source', 'code', 'coursera', 'course', 'introduction']",0,Apache-2.0 license,6-Jul-13
6,,9,"['work', 'redditinsight']",0,0,6-Jul-13
6,,1,"['repo', 'questions', 'answers', 'introduction', 'course', 'bill', 'howe', 'coursera']",0,0,10-Jul-13
6,,0,"['assignments', 'introduction', 'course', 'washington', 'university']",0,0,11-Jul-13
6,,0,"['exercises', 'textcode', 'book', 'introduction', 'jeffrey', 'stanton']",1,0,11-Jul-13
6,,0,"['programming', 'works', 'introduction', 'coursera']",0,0,12-Jul-13
6,"['science', 'data', 'bioinformatics', 'r', 'genomics', 'analysis', 'capture', 'rnaseq', 'atac-seq', 'count-data']",1,"['collection', 'assignments', 'general', 'assembly', 'course']",1,0,17-Jul-13
6,,0,"['programming', 'assignments', 'introduction', 'course']",0,0,20-Jul-13
6,,0,"['map', 'reduce', 'algorithms', 'made', 'uw', 'iitd', 'web', 'intelligence', 'big', 'data', 'courses']",0,0,20-Jul-13
6,,0,"['sentimental', 'analysis', 'tweets', 'made', 'uw', 'course']",0,0,20-Jul-13
6,,0,"['scripts', 'assignments']",0,0,20-Jul-13
6,,0,"['repository', 'contains', 'code', 'used', 'introduction', 'course']",0,0,21-Jul-13
6,,0,"['repository', 'contains', 'code', 'used', 'introduction', 'course', 'twitter', 'sentiment']",0,0,21-Jul-13
6,,0,"['homework', 'assignments', 'projects', 'ga', '2013']",1,0,23-Jul-13
6,,0,"['ga', 'week', '2', 'home', 'work', 'local', 'git', 'hub']",1,0,28-Jul-13
6,"['machine-learning', 'data-science', 'tensorflow', 'keras', 'data-visualization']",0,"['solution', 'first', 'assignment', 'introduction', 'coursera']",0,MIT license,4-Aug-13
6,,0,"['work', 'ga', 'summer', '2013', 'long', 'form', 'course']",1,0,12-Aug-13
6,,4,"['learning', 'lunch', 'bayesian', 'networks', 'automated', 'causal', 'discovery', 'presented', 'social', 'good', 'fell']",1,0,14-Aug-13
6,,0,"['labs', 'introduction', 'class']",1,0,14-Aug-13
6,,0,"['work', 'ga', 'class', '2013']",1,0,15-Aug-13
6,[],0,"['code', 'kaggle', 'compeition', 'component', 'stat', '4242', 'final', 'project']",1,0,16-Aug-13
6,,0,"['contains', 'solutions', 'bill', 'howe', 'coursera']",0,0,16-Aug-13
6,,0,"['repo', 'assignments', 'ga', 'course']",1,0,3-Sep-13
6,,2,"['tool', 'download', 'mars', 'science', 'laboratory', 'tracking', 'data', 'publicly', 'available']",0,0,4-Sep-13
6,,0,"['mapreduce', 'exercises', 'introduction', 'course']",0,0,5-Sep-13
6,[],1,"['benchmark', 'kaggle', 'london', 'competition']",1,0,18-Sep-13
6,[],0,"['london', 'scikit', 'learn', 'kaggle', 'competition']",0,0,21-Sep-13
6,,3,"['scripts', 'written', 'using', 'mapreduce', 'paradigm', 'intro', 'course']",0,0,26-Sep-13
6,,0,"['self', 'learning', 'stuff']",1,0,30-Sep-13
6,[],0,"['mine', 'data', 'homework', 'science']",0,0,30-Sep-13
6,,0,"['friendly', 'nyc', 'data', 'storytelling', 'project', 'completed', 'final', 'itp']",0,0,22-Oct-13
6,,0,"['digit', 'recognizer', 'built', 'kaggle', 'competetion']",0,0,26-Oct-13
6,,0,"['take', 'sensor', 'data', 'via', 'post', 'expose', 'tastypy', 'api', 'access', 'data', 'science', 'hack', 'day', '2013']",0,MIT license,2-Nov-13
6,,2,"['lesson', '4', 'oracle', 'academy', 'bootcamp', 'supervised', 'learning', 'classification', 'prediction']",0,0,7-Nov-13
6,,0,"['holds', 'coursework', 'fall', '2013', 'course']",0,0,9-Nov-13
6,,0,"['lesson', '5', 'oracle', 'academy', 'bootcamp', 'classical', 'statistics', 'big', 'data', 'world']",0,0,11-Nov-13
6,,0,"['lesson', '6', 'oracle', 'academy', 'bootcamp', 'building', 'exploring', 'graphs']",0,0,11-Nov-13
6,"['deck', 'lib', 'lib', 'pandas-dataframe', 'pyplot', 'newyork-data', 'streamlit', 'pydeck', 'road-accident-project']",0,"['homework', 'course', 'general', 'assembly']",0,0,12-Nov-13
6,,2,"['source', 'files', 'master', 'course', 'big', 'data', 'technologies', 'darmstadt', 'university', 'applied', 'sciences']",0,0,13-Nov-13
6,,0,"['intro', 'machine', 'learning', 'workshop', 'weekend', 'november', '16', '17', '2013', 'repo', 'contains']",0,0,18-Nov-13
6,,2,"['make', 'supervised', 'learning', 'less', 'painful']",0,0,19-Nov-13
6,,0,"['playground', 'learn', 'programming', 'coupled', 'social', 'media', 'api', 'big', 'data']",0,0,25-Nov-13
6,,0,"['kaggle', 'problem', 'assuming', 'deaths', 'test', 'file', 'training', 'data', 'given']",0,0,4-Dec-13
6,,1,"['final', 'project', 'course', 'big', 'data', 'information', 'library', 'science', 'unc', 'uses', 'mapreduce', 'find', 'similar', 'studies']",0,0,4-Dec-13
6,,0,"['result', 'final', 'project', 'computer', 'science', '106', 'introduction', 'data', 'structures', 'produced', 'algo']",0,0,6-Dec-13
6,,0,"['scripts', 'dealing', 'science', 'museum', 'energy', 'data']",0,MIT license,9-Dec-13
6,,1,"['longer', 'maintained', 'see']",0,0,11-Dec-13
6,,0,"['longer', 'maintained', 'see']",0,0,11-Dec-13
6,,0,"['virtualized', 'container', 'portable', 'reproducible']",0,Apache-2.0 license,28-Dec-13
6,,0,"['assignments', 'coursera', 'mooc', 'data', 'collected', 'munging', 'interpretations', 'rep']",1,0,17-Jan-14
6,,0,"['second', 'assignment', 'time', 'using', 'data', 'collected', 'samsung', 'phones', 'determine', 'whether', 'someone', 'li']",1,0,17-Jan-14
6,,0,"['london', 'scikit', 'learn', 'kaggle', 'competition']",0,0,22-Jan-14
6,[],7,"['supporting', 'materials', 'weblog', 'series']",1,MIT license,26-Jan-14
6,,0,"['implemenation', 'solutions', 'allen', 'downey', 'think', 'stats', 'book']",0,0,28-Jan-14
6,,0,"['repository', 'coursera', 'class', 'toolbox']",1,0,31-Jan-14
6,,0,"['northern', 'utah', 'group', 'meetup', 'slides', 'notes', 'etc']",1,0,6-Feb-14
6,,2,"['repository', 'presentations', 'code', 'presnted', 'monthly', 'meeting']",1,0,12-Feb-14
6,,0,"['machine', 'learning', 'course', 'hackbright', 'exercise', 'algorithm']",0,0,16-Feb-14
6,,0,"['small', 'scripts', 'created', 'coursera', 'prorgram']",0,0,18-Feb-14
6,,0,"['social', 'science', 'data', 'creator', 'reddit', 'data']",0,0,20-Feb-14
6,,1,"['different', 'data', 'analysis', 'topics']",1,GPL-3.0 license,22-Feb-14
6,,1,"['twitter', 'sentiment', 'analysis', 'exercises', 'coded', 'course', 'introduction', 'coursera']",0,0,25-Feb-14
6,,0,"['learn', 'kaggle', 'competitions', 'columbia', 'university', 'club']",0,0,27-Feb-14
6,,1,"['workspace', 'intro', 'udacity']",0,0,3-Mar-14
6,,0,"['computer', 'science', 'practice', 'algorithms', 'data', 'structures']",0,Apache-2.0 license,4-Mar-14
6,,0,"['homework', 'assignments', 'general', 'assembly', 'course']",0,0,5-Mar-14
6,,0,"['self', 'teaching', 'structure', 'udacity', 'questions', 'typically', 'solution', 'posted']",0,0,15-Mar-14
6,,0,"['solutions', 'edx', 'course', '6', '002x', 'introduction', 'computational', 'thinking']",0,0,31-Mar-14
6,,0,"['programming', 'assignments', 'introduction', 'course']",0,0,2-Apr-14
2,,0,"['software', 'engineering', 'reproducible', 'research']",0,0,16-Feb-19
2,,0,"['tutorial', 'getting', 'set']",0,0,8-Jul-17
2,,0,"['solutions', 'introduction', 'course', 'coursera']",0,0,23-Dec-16
2,,0,"['introduction', 'computer', 'science', 'nyu', 'shanghai', 'segment', '3', 'week', '1']",0,0,28-Mar-17
2,,0,"['jupyter', 'powered', 'lightweight', 'framework', 'projects']",0,0,30-Apr-17
2,,0,"['submission', 'coursera', 'specialization', 'assignment', 'project']",1,0,22-Jun-16
2,,0,"['classwork', 'ga', 'students', 'pull']",1,0,15-May-13
2,,0,"['repository', 'cmu', 'interactive', 'course']",0,0,22-Feb-18
2,,0,"['1', 'day', 'workshop', 'material', 'sas', 'programmers', 'transition', 'usage']",0,0,21-Jun-17
2,,0,"['repo', 'contains', 'course', 'project', 'coursera', 'getting', 'cleaning', 'data', 'course', 'part', 'spec']",1,0,27-Apr-14
2,,0,"['ga', 'week', '2', 'home', 'work', 'local', 'git', 'hub']",1,0,28-Jul-13
2,,0,"['template', 'repo', 'structure', 'based', 'projects']",0,MIT license,22-May-20
2,,0,"['lsdc', 'life', 'sciences', 'data', 'collection']",0,BSD-3-Clause license,7-Oct-21
2,,0,"['asbmb', 'teaching', 'science', 'big', 'data', 'presentation', '2021']",1,0,21-Jun-21
2,,0,"['best', 'tutorials', 'top', 'data', 'scientists', 'follow']",0,0,21-Oct-16
2,,0,"['first', 'simple', 'data', 'analysis', 'carried', 'memebers', 'srg']",0,MIT license,11-Apr-19
2,,0,"['programming', 'published', 'packt']",1,MIT license,18-Jan-21
2,,0,"['next', 'word', 'prediction', 'app']",1,0,4-Dec-18
2,,0,"['uthealth', 'introduction']",1,MIT license,9-Dec-19
2,,0,"['capstone', 'project', 'shiny', 'app', 'predicting', 'next', 'word']",1,0,24-Jan-16
2,,0,"['repo', 'course', 'project', 'one', 'course', 'exploratory', 'data', 'analysis', 'offered', 'coursera']",1,0,9-Jan-15
2,,0,"['conformation', 'central', 'limit', 'theorem', 'analysis', 'tooth', 'growth', 'data']",1,0,12-May-16
2,,0,"['programming', 'assignments', 'introduction', 'course']",0,0,20-Jul-13
2,[],0,"['course', 'tsci', '5050', 'introduction']",1,CC0-1.0 license,16-May-16
2,,0,"['storing', 'place', 'scripts', 'written', 'course', 'sql', 'databases', 'offered', 'ibm']",0,0,23-Jun-18
2,[],0,"['projects', 'associated', 'specialization', 'johns', 'hopkins', 'via', 'coursera', 'org']",1,0,18-Nov-14
2,,0,"['glassdoor', 'data', 'data', 'scientist', 'jobs', 'hong', 'kong']",0,0,1-Jun-21
2,,0,"['bunch', 'scripts', 'making', 'order', 'apply', 'kinds', 'models', 'already', 'pre', 'processed', 'dataset']",0,0,16-Jan-20
2,[],0,"['repo', 'students', 'ga', 'course', 'hong', 'kong']",0,0,6-May-14
2,,0,"['student', 'work', 'general', 'assembly', 'course', 'washington', 'dc']",0,0,25-Feb-15
2,[],0,"['milestone', 'report', 'coursera', 'capstone']",1,0,20-Feb-17
2,,0,"['simple', 'project', 'exploring', 'weather', 'australia', 'used', 'git', 'training', 'course']",1,0,16-Mar-21
2,,0,"['codes', 'applied', 'class', 'fall', 'semester', '2014', 'includes', 'statistics', 'regression', 'analys']",0,0,22-Jan-15
2,,0,"['session', 'research', 'data', 'management', 'life', 'sciences', 'workshop', '10', 'nov', '2020', 'creating', 'working', 'reproducible']",1,0,9-Nov-20
2,,0,"['containers', 'used', 'general', 'purpose']",0,0,25-Aug-21
2,,0,"['consists', 'examples', 'assignments', 'discussed', 'course', 'gv']",0,0,15-Nov-18
2,,0,"['capital', 'one', '2', 'dataset', 'dataset', 'challenge', 'success']",1,0,8-May-16
2,,0,"['coursera', 'introductino', 'twitter', 'sentiment', 'script', 'dictionary']",0,0,29-Dec-14
2,,0,"['repository', 'team', 'les', 'charettes', 'ensai', 'game', '2017']",0,0,24-Jun-17
2,,0,"['machine', 'learning', 'related', 'tutorials']",0,0,17-May-20
2,,0,"['project', 'repository', 'project', 'machine', 'learning']",0,0,13-Feb-20
2,[],0,"['student', 'work', 'general', 'assembly', 'course', 'washington', 'dc']",0,0,27-Dec-14
2,[],0,"['first', 'project', 'data', 'structures', 'algorithms', 'nanodegree']",0,0,24-Oct-19
2,,0,"['data', 'preprocessing', 'lab', 'data', 'cleaning']",0,0,22-Oct-21
2,,0,"['starter', 'project', 'using', 'common', 'dependencies', 'included', 'pull', 'requests', 'welcome']",0,MIT license,4-Feb-19
2,,0,"['projects', 'done', 'program', 'nyc', 'academy']",1,0,27-Apr-16
2,,0,"['web', 'based', 'dashboard', 'vehicle', 'collision', 'dataset', 'newyork', 'city']",0,0,21-Oct-20
2,,0,"['repository', 'students', 'test', 'new', 'found', 'git', 'skills']",1,0,11-Oct-21
2,"['data-science', 'python', 'data', 'dictionary', 'datascience', 'data-analysis', 'datawrangling', 'pythonprojects', 'datascienceproject', 'greyatom']",0,"['forked', 'donnemartin']",0,0,3-Jul-17
2,,0,"['getting', 'started', 'repository', 'psychology']",1,0,16-Jan-20
2,,0,"['source', 'code', 'accompany', 'wall', 'street', 'tutorial', 'hadoop', 'world', 'nyc', '2015']",0,Apache-2.0 license,29-Sep-15
2,[],0,"['source', 'code', 'accompany', 'wall', 'street', 'tutorial', 'hadoop', 'world', 'nyc', '2015']",0,Apache-2.0 license,29-Sep-15
2,,0,"['introduction', 'week', '4', 'assignment', 'solution']",0,0,4-Dec-20
2,,0,"['hmc', 'summer', 'workshop', 'bootcamp']",1,0,31-May-18
2,,0,"['course', 'project', 'coursera', 'getting', 'cleaning', 'data', 'class']",1,0,25-Jan-15
2,,0,"['lesson', '5', 'oracle', 'academy', 'bootcamp', 'classical', 'statistics', 'big', 'data', 'world']",0,0,11-Nov-13
2,,0,"['data', 'summit', '2015', 'workshop']",0,0,16-May-17
2,,0,"['validate', 'output', 'data', 'repository', 'lsst', 'science', 'requirements', 'document', 'key', 'performance', 'metrics']",0,GPL-3.0 license,26-Aug-21
2,,0,"['computer', 'science', 'engineering', 'data', 'scientists']",0,MIT license,31-Jan-19
2,,0,"['place', 'useful', 'functions', 'methods']",0,0,1-Aug-20
2,,0,"['repo', 'contains', 'supporting', 'documentation', 'files', 'simple', 'shiny', 'app', 'developed', 'cousera', 'johns', 'hopk']",1,0,20-Mar-16
0,,21800,"['notebooks', 'deep', 'learning', 'tensorflow', 'theano', 'caffe', 'keras', 'scikit', 'learn', 'kaggle', 'big', 'data', 'spar']",0,0,4-Nov-21
0,,4400,"['common', 'data', 'analysis', 'machine', 'learning', 'tasks', 'using']",0,MIT license,25-Aug-21
0,,5700,"['curated', 'list', 'blogs']",0,0,3-Aug-21
0,"['data-science', 'parsing', 'webscraping']",5200,"['logical', 'reasonably', 'standardized', 'flexible', 'project', 'structure', 'sharing', 'work']",0,MIT license,8-Nov-21
0,,1700,"['curated', 'list', 'tutorials', 'nlp', 'machine', 'learning']",1,MIT license,19-Oct-20
0,[],4500,"['toturials', 'coming', 'roadmap', 'picture']",0,GPL-3.0 license,11-Dec-20
0,,378,"['slides', 'accompanying', 'code', 'exercises', 'stored', 'repo']",0,MIT license,9-May-21
0,,879,"['data', 'intensive', 'science', 'everyone']",0,0,12-Nov-21
0,"['data-science', 'lib', 'jupyter-notebook', 'lib', 'python3']",330,"['github', 'repository', 'accompany', 'youtube', 'series', 'videos', 'introductory', 'using']",1,0,11-Nov-17
0,,1600,"['readings', 'applied']",1,CC-BY-SA-4.0 license,21-Jun-18
0,[],115,"['code', 'documentation', 'introduction', 'jeffrey', 'stanton']",1,0,11-Jun-12
0,,118,"['repository', 'focuses', 'saving', 'linkedin', 'articles', 'stuff', 'find', 'useful', 'linkedin']",0,0,3-Aug-21
